numero_commande,date_commande,client,sku_produit,produit_designation,quantite,prix_unitaire_cad
CMD-000001,2026-02-17,Atelier Mécanique 360,FLT-002006,Filtre à air moteur,4,25.87
CMD-000001,2026-02-17,Mécanique Rapide Inc.,SEN-001406,Capteur ABS,5,44.82
CMD-000001,2026-02-17,Centre Auto Plus,ROT-004365,Disque de frein ventilé,6,126.69
CMD-000001,2026-02-17,Garage Royal,BRK-043894,Jeu plaquettes AV,4,110.9
CMD-000002,2025-11-04,Auto-Réparation ABC,FLT-039148,Filtre à air moteur,2,37.13
CMD-000002,2025-11-04,Mécanique Rapide Inc.,FUS-030639,Boîte fusibles relais,3,16.59
CMD-000003,2026-01-16,Mécanique Rapide Inc.,ALT-003675,Alternateur 12V 140A,1,360.96
CMD-000003,2026-01-16,Garage Tremblay,BMP-018983,Pare-chocs AV primaire,5,518.75
CMD-000004,2025-11-21,Garage Royal,FUS-043943,Boîte fusibles relais,3,21.72
CMD-000004,2025-11-21,Carrosserie Moderne,BLB-021079,Ampoule LED H7,8,20.2
CMD-000004,2025-11-21,Garage Royal,BLB-000882,Ampoule LED H7,5,21.29
CMD-000004,2025-11-21,Pneus & Mécanique Pro,RAD-035768,Radiateur refroidissement,6,177.87
CMD-000005,2026-05-18,Garage Royal,STR-022845,Jambe de force suspension,3,261.72
CMD-000006,2026-05-31,Centre Auto Plus,RAD-014202,Radiateur refroidissement,6,157.43
CMD-000006,2026-05-31,Auto-Réparation ABC,BRK-007894,Jeu plaquettes AV,2,75.72
CMD-000006,2026-05-31,Auto Clinic,SPK-038087,Bougie allumage iridium,5,20.95
CMD-000006,2026-05-31,Garage du Centre,ALT-010794,Alternateur 12V 140A,2,367.23
CMD-000007,2025-11-16,Pneus & Mécanique Pro,RAD-035768,Radiateur refroidissement,4,177.87
CMD-000007,2025-11-16,Atelier Mécanique 360,RAD-036481,Radiateur refroidissement,1,126.31
CMD-000008,2026-04-25,Atelier Mécanique 360,SPK-035054,Bougie allumage iridium,8,23.72
CMD-000008,2026-04-25,Garage Tremblay,ROT-030364,Disque de frein ventilé,6,170.45
CMD-000008,2026-04-25,Pneus & Mécanique Pro,SPK-014779,Bougie allumage iridium,5,24.56
CMD-000008,2026-04-25,Garage du Centre,FLT-047651,Filtre à air moteur,6,34.47
CMD-000008,2026-04-25,Garage Royal,FLT-026606,Filtre à air moteur,3,14.88
CMD-000009,2026-02-13,Carrosserie Moderne,BLB-016265,Ampoule LED H7,6,26.03
CMD-000009,2026-02-13,Garage Tremblay,EXH-005364,Silencieux échappement,3,299.96
CMD-000009,2026-02-13,Pneus & Mécanique Pro,RAD-035768,Radiateur refroidissement,4,177.87
CMD-000010,2025-11-02,Auto Clinic,RAD-035768,Radiateur refroidissement,6,177.87
CMD-000010,2025-11-02,Atelier Mécanique 360,ALT-020646,Alternateur 12V 140A,8,230.64
CMD-000010,2025-11-02,Auto-Réparation ABC,BLB-021079,Ampoule LED H7,2,20.2
CMD-000010,2025-11-02,Pneus & Mécanique Pro,FUS-012274,Boîte fusibles relais,8,9.66
CMD-000011,2025-10-31,Mécanique Rapide Inc.,RAD-021448,Radiateur refroidissement,5,285.37
CMD-000011,2025-10-31,Centre Auto Plus,EXH-011058,Silencieux échappement,1,274.25
CMD-000011,2025-10-31,Pneus & Mécanique Pro,ALT-017973,Alternateur 12V 140A,5,250.15
CMD-000012,2026-02-15,Pneus & Mécanique Pro,RAD-035768,Radiateur refroidissement,2,177.87
CMD-000012,2026-02-15,Auto Clinic,SPK-013663,Bougie allumage iridium,5,30.57
CMD-000012,2026-02-15,Mécanique Rapide Inc.,FLT-041451,Filtre à air moteur,1,23.85
CMD-000012,2026-02-15,Garage du Centre,BMP-047146,Pare-chocs AV primaire,3,252.58
CMD-000013,2026-08-01,Garage Tremblay,ALT-003675,Alternateur 12V 140A,6,360.96
CMD-000013,2026-08-01,Carrosserie Moderne,BMP-018983,Pare-chocs AV primaire,6,518.75
CMD-000013,2026-08-01,Carrosserie Moderne,SEN-026048,Capteur ABS,6,61.18
CMD-000013,2026-08-01,Garage Tremblay,SEN-040857,Capteur ABS,8,47.28
CMD-000013,2026-08-01,Auto Clinic,BRK-001937,Jeu plaquettes AV,6,88.96
CMD-000014,2026-03-09,Auto-Réparation ABC,ALT-011901,Alternateur 12V 140A,4,437.77
CMD-000015,2026-07-01,Carrosserie Moderne,ROT-048335,Disque de frein ventilé,6,168.29
CMD-000015,2026-07-01,Pneus & Mécanique Pro,FLT-016091,Filtre à air moteur,3,21.81
CMD-000016,2026-06-10,Garage du Centre,ALT-011075,Alternateur 12V 140A,3,372.16
CMD-000017,2026-01-18,Auto Clinic,BRK-045299,Jeu plaquettes AV,6,69.76
CMD-000017,2026-01-18,Mécanique Rapide Inc.,BLB-009934,Ampoule LED H7,7,23.13
CMD-000017,2026-01-18,Auto-Réparation ABC,STR-037922,Jambe de force suspension,1,181.79
CMD-000017,2026-01-18,Auto Clinic,EXH-004212,Silencieux échappement,4,217.38
CMD-000017,2026-01-18,Auto Clinic,BRK-030645,Jeu plaquettes AV,4,101.85
CMD-000018,2025-12-28,Mécanique Rapide Inc.,ALT-038966,Alternateur 12V 140A,4,442.71
CMD-000018,2025-12-28,Mécanique Rapide Inc.,ROT-017022,Disque de frein ventilé,7,145.87
CMD-000019,2026-05-28,Garage du Centre,SEN-008607,Capteur ABS,1,43.73
CMD-000019,2026-05-28,Garage Royal,SPK-005520,Bougie allumage iridium,3,25.27
CMD-000019,2026-05-28,Carrosserie Moderne,RAD-036952,Radiateur refroidissement,7,276.53
CMD-000020,2026-03-07,Centre Auto Plus,BRK-048985,Jeu plaquettes AV,6,88.49
CMD-000021,2025-10-15,Atelier Mécanique 360,SPK-043767,Bougie allumage iridium,2,15.6
CMD-000022,2026-03-22,Auto Clinic,FUS-026755,Boîte fusibles relais,3,19.98
CMD-000022,2026-03-22,Auto-Réparation ABC,SEN-031681,Capteur ABS,8,63.41
CMD-000023,2026-04-24,Garage Tremblay,BRK-037603,Jeu plaquettes AV,2,83.61
CMD-000023,2026-04-24,Mécanique Rapide Inc.,BLB-030933,Ampoule LED H7,1,16.12
CMD-000023,2026-04-24,Centre Auto Plus,ALT-008049,Alternateur 12V 140A,7,222.56
CMD-000023,2026-04-24,Pneus & Mécanique Pro,ROT-009641,Disque de frein ventilé,6,100.02
CMD-000023,2026-04-24,Centre Auto Plus,ROT-033992,Disque de frein ventilé,1,200.78
CMD-000024,2025-12-31,Carrosserie Moderne,RAD-014202,Radiateur refroidissement,3,157.43
CMD-000024,2025-12-31,Auto-Réparation ABC,BLB-048487,Ampoule LED H7,7,25.62
CMD-000024,2025-12-31,Garage Royal,BMP-045900,Pare-chocs AV primaire,4,451.34
CMD-000024,2025-12-31,Atelier Mécanique 360,FLT-019186,Filtre à air moteur,1,18.31
CMD-000025,2026-05-09,Carrosserie Moderne,ALT-020646,Alternateur 12V 140A,1,230.64
CMD-000025,2026-05-09,Mécanique Rapide Inc.,BRK-032339,Jeu plaquettes AV,7,92.25
CMD-000025,2026-05-09,Auto-Réparation ABC,BRK-010399,Jeu plaquettes AV,7,46.82
CMD-000026,2025-09-23,Centre Auto Plus,FUS-029617,Boîte fusibles relais,5,8.67
CMD-000026,2025-09-23,Centre Auto Plus,ROT-004395,Disque de frein ventilé,4,109.37
CMD-000027,2026-06-13,Garage du Centre,ROT-016042,Disque de frein ventilé,6,130.53
CMD-000027,2026-06-13,Atelier Mécanique 360,SEN-032264,Capteur ABS,4,53.17
CMD-000028,2026-04-12,Garage Royal,FUS-029617,Boîte fusibles relais,2,8.67
CMD-000029,2025-10-17,Garage du Centre,BRK-033276,Jeu plaquettes AV,7,87.38
CMD-000029,2025-10-17,Carrosserie Moderne,BRK-031679,Jeu plaquettes AV,3,83.55
CMD-000030,2026-05-23,Garage Royal,BRK-002783,Jeu plaquettes AV,2,71.91
CMD-000030,2026-05-23,Centre Auto Plus,FLT-007313,Filtre à air moteur,5,29.22
CMD-000030,2026-05-23,Garage du Centre,BRK-025898,Jeu plaquettes AV,5,75.12
CMD-000030,2026-05-23,Auto-Réparation ABC,FUS-041410,Boîte fusibles relais,2,23.1
CMD-000031,2026-03-14,Pneus & Mécanique Pro,ALT-003675,Alternateur 12V 140A,6,360.96
CMD-000031,2026-03-14,Mécanique Rapide Inc.,RAD-038734,Radiateur refroidissement,6,314.42
CMD-000032,2026-01-24,Auto-Réparation ABC,ALT-011901,Alternateur 12V 140A,1,437.77
CMD-000032,2026-01-24,Atelier Mécanique 360,STR-019015,Jambe de force suspension,7,168.66
CMD-000032,2026-01-24,Carrosserie Moderne,SEN-032264,Capteur ABS,3,53.17
CMD-000033,2026-03-28,Auto-Réparation ABC,RAD-008323,Radiateur refroidissement,1,225.29
CMD-000033,2026-03-28,Centre Auto Plus,ALT-032314,Alternateur 12V 140A,3,280.49
CMD-000033,2026-03-28,Pneus & Mécanique Pro,ROT-015815,Disque de frein ventilé,2,109.98
CMD-000033,2026-03-28,Garage Tremblay,ROT-021710,Disque de frein ventilé,6,128.69
CMD-000033,2026-03-28,Garage du Centre,BLB-002629,Ampoule LED H7,3,34.86
CMD-000034,2026-07-20,Garage du Centre,BRK-042241,Jeu plaquettes AV,3,60.39
CMD-000035,2026-07-03,Auto-Réparation ABC,BRK-042035,Jeu plaquettes AV,2,57.16
CMD-000036,2026-08-15,Garage Royal,FUS-029617,Boîte fusibles relais,8,8.67
CMD-000036,2026-08-15,Mécanique Rapide Inc.,BMP-045900,Pare-chocs AV primaire,3,451.34
CMD-000036,2026-08-15,Carrosserie Moderne,ALT-003675,Alternateur 12V 140A,7,360.96
CMD-000037,2026-04-14,Auto-Réparation ABC,BRK-042035,Jeu plaquettes AV,7,57.16
CMD-000037,2026-04-14,Auto-Réparation ABC,ROT-023334,Disque de frein ventilé,2,124.69
CMD-000037,2026-04-14,Centre Auto Plus,ALT-043817,Alternateur 12V 140A,5,318.1
CMD-000038,2026-02-11,Carrosserie Moderne,RAD-035768,Radiateur refroidissement,7,177.87
CMD-000038,2026-02-11,Garage Tremblay,BMP-047146,Pare-chocs AV primaire,5,252.58
CMD-000039,2026-08-18,Centre Auto Plus,ALT-043817,Alternateur 12V 140A,7,318.1
CMD-000039,2026-08-18,Atelier Mécanique 360,RAD-035768,Radiateur refroidissement,5,177.87
CMD-000039,2026-08-18,Auto Clinic,BMP-045900,Pare-chocs AV primaire,5,451.34
CMD-000039,2026-08-18,Carrosserie Moderne,ROT-045812,Disque de frein ventilé,3,85.68
CMD-000039,2026-08-18,Garage du Centre,ROT-034722,Disque de frein ventilé,6,168.29
CMD-000040,2026-06-11,Centre Auto Plus,BRK-036534,Jeu plaquettes AV,7,113.69
CMD-000041,2026-02-17,Garage Tremblay,SPK-043767,Bougie allumage iridium,8,15.6
CMD-000041,2026-02-17,Pneus & Mécanique Pro,BRK-002313,Jeu plaquettes AV,3,83.45
