sku,code_barre_128,designation,emplacement_id,poids_kg,longueur_cm,largeur_cm,hauteur_cm,cout_de_revient_total,stock_systeme,classe_abc
SPK-037015,C1289813538644,Bougie allumage iridium,A1B04B10,0.14,11.5,2.1,2.3,12.92,13,C
FUS-025154,C1285032224356,Boîte fusibles relais,A1B04B09,0.12,5.3,4.1,3.2,15.93,57,A
SPK-031992,C1284119689361,Bougie allumage iridium,A1B04B08,0.14,13.4,2.2,2.4,13.92,85,A
FUS-037465,C1285111197425,Boîte fusibles relais,A1B04B07,0.07,6.5,4.2,2.6,9.24,116,C
SPK-043767,C1283026936659,Bougie allumage iridium,A1B04B06,0.1,12.7,3.1,2.0,10.76,37,A
SPK-033608,C1284155898071,Bougie allumage iridium,A1B04B05,0.1,11.6,2.1,3.3,12.17,6,C
SPK-003219,C1289480506531,Bougie allumage iridium,A1B04B04,0.08,10.0,2.6,3.1,11.08,63,A
FUS-026474,C1288410544164,Boîte fusibles relais,A1B04B03,0.13,6.8,5.8,2.4,13.03,115,A
SPK-043295,C1285857802307,Bougie allumage iridium,A1B04B02,0.1,11.8,3.6,2.3,9.51,100,A
SPK-047981,C1285538734151,Bougie allumage iridium,A1A01DD,0.1,13.0,2.6,3.1,16.58,72,A
SPK-042345,C1286424668555,Bougie allumage iridium,A1B04B01,0.14,13.7,3.9,2.0,13.72,69,C
SPK-017734,C1288107776096,Bougie allumage iridium,A1A02CD,0.14,10.1,3.6,3.0,14.06,39,B
SPK-020617,C1285377404444,Bougie allumage iridium,A1A02CG,0.08,12.3,2.4,3.7,8.71,15,C
FUS-021849,C1284456396563,Boîte fusibles relais,A1A01DG,0.06,5.5,5.4,3.9,9.78,72,A
SPK-025943,C1286929531938,Bougie allumage iridium,A1C04A02,0.11,11.8,3.4,2.9,15.73,113,A
SEN-006586,C1281511111323,Capteur ABS,A1A03B10,0.34,8.7,4.2,3.2,27.29,1,C
SPK-013663,C1285016271670,Bougie allumage iridium,A1A03B09,0.09,10.5,3.5,3.2,21.08,12,B
FUS-005948,C1289842751727,Boîte fusibles relais,A1A03B08,0.18,10.6,3.5,3.2,14.83,83,B
FUS-037574,C1288632546527,Boîte fusibles relais,A1C04A01,0.08,7.7,4.3,3.6,15.74,48,A
FUS-016622,C1289608566367,Boîte fusibles relais,A1A03B07,0.18,6.6,5.5,3.3,12.75,21,B
SPK-044783,C1283606766661,Bougie allumage iridium,A1A03B06,0.14,13.5,3.1,2.9,16.71,88,B
FUS-027893,C1282837937481,Boîte fusibles relais,A1B03CD,0.07,10.2,4.9,2.5,13.79,85,A
SEN-008012,C1285292435739,Capteur ABS,A1A03B05,0.34,9.5,4.3,3.2,23.15,2,C
SPK-034162,C1286721924448,Bougie allumage iridium,A1A03B04,0.14,13.8,2.9,3.3,10.72,79,B
SPK-032001,C1289447107039,Bougie allumage iridium,A1B03CG,0.11,13.1,3.9,2.6,12.46,80,A
FUS-018600,C1281390690630,Boîte fusibles relais,A1A03B03,0.12,10.8,3.8,3.3,10.41,46,C
BLB-018376,C1282371480557,Ampoule LED H7,A1A03B02,0.12,6.3,4.6,5.0,14.16,54,C
FUS-041719,C1286258572818,Boîte fusibles relais,A1B02DD,0.17,5.3,6.7,4.1,10.21,96,A
FUS-013874,C1289497788383,Boîte fusibles relais,A1B02DG,0.09,9.0,7.5,2.2,13.25,89,B
SEN-038683,C1289187787082,Capteur ABS,A1C03B10,0.22,10.9,4.1,3.4,48.80,89,A
FUS-003501,C1283594302097,Boîte fusibles relais,A1A03B01,0.17,5.7,6.5,4.5,15.37,7,B
FUS-003395,C1285373209014,Boîte fusibles relais,A1C03B09,0.09,9.4,3.8,4.7,12.07,87,A
BLB-019537,C1284672311650,Ampoule LED H7,A1B05A02,0.05,8.8,4.7,4.3,12.90,97,B
BLB-020402,C1286085342601,Ampoule LED H7,A1C03B08,0.09,7.3,4.3,5.8,13.13,47,A
FUS-019025,C1284907545602,Boîte fusibles relais,A1C03B07,0.11,6.2,5.9,5.0,11.13,106,A
FUS-028100,C1289493290100,Boîte fusibles relais,A1C03B06,0.15,10.6,6.7,2.7,12.14,15,A
BLB-040946,C1285692373612,Ampoule LED H7,A1C03B05,0.09,9.6,4.1,5.1,20.23,13,A
