sku,oem_cross_ref,categorie,designation,marque,location_id,stock_systeme,stock_physique_compte,stock_reserve,seuil_reappro,stock_securite,cout_unitaire_cad,prix_vente_cad,delai_fournisseur_j,classe_abc
STR-00001,OEM-5378667,Suspension,Rotule de direction (Bilstein),Bilstein,A-01-07-L1-D,66,66,15,35,11,200.27,311.18,8,C
ARM-00002,OEM-8602604,Suspension,Bras oscillant inférieur (Moog),Moog,B-21-10-L2-C,79,79,5,34,13,81.91,127.46,12,C
BRK-00003,OEM-2964084,Freinage,Étrier reconditionné (Brembo),Brembo,B-27-06-L1-E,72,72,3,29,19,31.26,44.63,19,C
STR-00004,OEM-8936198,Suspension,Bras oscillant inférieur (Sachs),Sachs,A-13-11-L3-D,1,1,1,5,2,208.02,294.44,22,C
FLT-00005,OEM-6113214,Filtration,Filtre carburant diesel (Mahle),Mahle,A-11-04-L2-B,2,2,1,10,3,7.68,12.88,14,C
WAT-00006,OEM-5301655,Moteur & Refroidissement,Radiateur alu (Valeo),Valeo,A-01-01-L3-A,70,70,10,32,17,189.24,293.81,20,B
SEN-00007,OEM-1547818,Électrique,Capteur vilebrequin (Delphi),Delphi,B-14-02-L3-C,10,8,3,9,4,117.02,189.69,45,C
ALT-00008,OEM-1829177,Électrique,Capteur vilebrequin (Valeo),Valeo,A-02-04-L1-C,11,11,0,10,4,22.42,35.21,14,C
ARM-00009,OEM-7227003,Suspension,Bras oscillant inférieur (KYB),KYB,A-17-11-L1-E,8,8,8,6,1,127.33,185.99,33,C
ROT-00010,OEM-8537854,Freinage,Disque ventilé (TRW),TRW,C-09-05-L2-B,2,2,0,9,3,136.47,234.45,14,A
STR-00011,OEM-2906862,Suspension,Amortisseur bitube (Bilstein),Bilstein,A-18-13-L2-D,75,75,14,33,5,148.89,254.78,9,C
ARM-00012,OEM-9479093,Suspension,Bras oscillant inférieur (Moog),Moog,B-07-05-L4-D,79,79,8,44,14,52.09,72.84,8,C
FLT-00013,OEM-4574329,Filtration,Filtre à air (Wix),Wix,A-13-04-L2-A,7,7,1,7,4,17.34,30.24,19,C
ROT-00014,OEM-3359630,Freinage,Plaquettes AR (Ferodo),Ferodo,B-33-03-L1-D,65,65,14,33,6,19.13,30.1,12,C
AIR-00015,OEM-1986468,Filtration,Filtre à air (Purflux),Purflux,D-03-08-L3-C,5,5,3,9,1,31.28,53.95,24,C
BEL-00016,OEM-1249862,Moteur & Refroidissement,Radiateur alu (SKF),SKF,C-16-08-L3-E,2,2,0,9,4,175.85,305.49,25,B
ROT-00017,OEM-8524383,Freinage,Plaquettes AR (Bosch),Bosch,C-06-05-L4-A,9,9,5,7,3,26.42,39.8,14,C
STR-00018,OEM-8785456,Suspension,Ressort hélicoïdal (Moog),Moog,B-19-03-L1-B,4,4,4,5,3,69.24,97.54,31,C
SUS-00019,OEM-2351363,Suspension,Amortisseur bitube (Monroe),Monroe,A-02-11-L2-E,129,126,4,82,38,58.69,92.77,6,C
STR-00020,OEM-2048113,Électrique,Bobine d'allumage (Denso),Denso,B-39-08-L3-E,37,37,12,40,17,134.62,230.57,16,A
