code_barre_128,sku,classe_produit,designation,emplacement_id,prix_achat_cad,prix_importation_cad,prix_transport_cad,cout_de_revient_total,longueur_cm,largeur_cm,hauteur_cm,poids_kg,classe_abc
C1287715068486,SPK-000001,SPK - Petite Piece A2,Bougie allumage iridium,A2-C03-T01-F,7.27,0.35,2.71,10.33,11.8,3.6,2.2,0.09,A
C1284375972849,ALT-000002,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1c-08-c-02,180.10,7.63,22.26,209.99,25.5,24.4,20.5,6.2,B
C1289502972215,BLB-000003,BLB - Petite Piece A2,Ampoule LED H7,A2-C16-T08-E,21.64,1.00,2.06,24.70,6.6,5.0,5.5,0.08,C
C1284641722644,BMP-000004,BMP - Grande Piece A3 A1p,Pare-chocs AV primaire,A3-L02-H2-S07,159.46,8.79,24.69,192.94,193.6,61.5,39.1,8.94,A
C1289851885101,FLT-000005,FLT - Moyenne Standard A1,Filtre à air moteur,A1a-16-b-06,20.29,1.12,3.02,24.43,24.4,23.1,7.9,0.27,B
C1289268038390,BRK-000006,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1c-24-c-12,64.28,4.01,6.94,75.23,24.3,12.0,7.4,1.51,C
C1283993693590,EXH-000007,EXH - Grande Piece A3 A1p,Silencieux échappement,A3-L21-H4-S01,85.59,4.39,27.76,117.74,80.4,33.7,20.5,11.55,C
C1288568013664,FLT-000008,FLT - Moyenne Standard A1,Filtre à air moteur,A1b-34-a-02,13.71,0.60,4.59,18.90,34.4,20.0,4.1,0.25,A
C1286712800198,BRK-000009,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1b-04-b-03,55.33,3.59,9.07,67.99,15.3,10.2,7.9,3.04,B
C1285176644859,FLT-000010,FLT - Moyenne Standard A1,Filtre à air moteur,A1a-10-a-02,8.31,0.46,2.96,11.73,23.0,15.2,5.9,0.57,A
C1285828762236,BLB-000011,BLB - Petite Piece A2,Ampoule LED H7,A2-C15-T11-H,20.13,0.99,4.96,26.08,6.8,5.8,5.1,0.09,C
C1281910322302,ALT-000012,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1a-40-a-04,125.21,5.41,20.39,151.01,29.7,21.6,20.0,7.57,B
