numero_commande,date_commande,client,montant_total_commande,sku_produit,produit_designation,quantite,prix_unitaire_cad,sous_total_ligne_cad
CMD-0000001,2023-09-10,Garage du Centre,7978.18,AIR-47742,Filtre à huile (Mahle),11,58.05,638.55
CMD-0000001,2023-09-10,Garage du Centre,7978.18,ALT-36862,Bobine d'allumage (Bosch),6,304.14,1824.84
CMD-0000001,2023-09-10,Garage du Centre,7978.18,STR-03439,Amortisseur bitube (Monroe),12,39.1,469.2
CMD-0000001,2023-09-10,Garage du Centre,7978.18,WAT-44958,Courroie accessoire (Continental),7,321.93,2253.51
CMD-0000001,2023-09-10,Garage du Centre,7978.18,SUS-36442,Rotule de direction (Monroe),11,216.06,2376.66
CMD-0000001,2023-09-10,Garage du Centre,7978.18,STR-01648,Bobine d'allumage (Delphi),2,207.71,415.42
CMD-0000002,2023-06-24,Mécanique Rapide Inc.,4468.22,AIR-15753,Filtre à air (Mann-Filter),3,51.26,153.78
CMD-0000002,2023-06-24,Mécanique Rapide Inc.,4468.22,CAB-26213,Filtre habitacle charbon (Purflux),6,16.34,98.04
CMD-0000002,2023-06-24,Mécanique Rapide Inc.,4468.22,STR-08720,Rotule de direction (Moog),8,214.08,1712.64
CMD-0000002,2023-06-24,Mécanique Rapide Inc.,4468.22,STR-03211,Bobine d'allumage (Bosch),4,383.2,1532.8
CMD-0000002,2023-06-24,Mécanique Rapide Inc.,4468.22,WAT-19126,Kit distribution + pompe (Nissens),4,242.74,970.96
CMD-0000003,2023-03-25,Garage Tremblay,1523.07,STR-38090,Ressort hélicoïdal (Sachs),9,169.23,1523.07
CMD-0000004,2023-02-20,Auto-Réparation ABC,287.28,BRK-43908,Étrier reconditionné (TRW),6,47.88,287.28
CMD-0000005,2023-04-18,Garage Royal,3425.58,RAD-20233,Radiateur alu (Continental),10,258.15,2581.5
CMD-0000005,2023-04-18,Garage Royal,3425.58,SEN-41076,Sonde Lambda amont (Denso),4,211.02,844.08
CMD-0000006,2023-04-19,Moteurs & Cie,5644.76,ALT-04045,Capteur vilebrequin (NGK),11,344.17,3785.87
CMD-0000006,2023-04-19,Moteurs & Cie,5644.76,AIR-02782,Filtre à huile (Mann-Filter),1,59.05,59.05
CMD-0000006,2023-04-19,Moteurs & Cie,5644.76,AIR-21119,Filtre carburant diesel (Wix),8,12.18,97.44
CMD-0000006,2023-04-19,Moteurs & Cie,5644.76,CAL-47443,Plaquettes AV (Brembo),2,241.12,482.24
CMD-0000006,2023-04-19,Moteurs & Cie,5644.76,BRK-09126,Plaquettes AR (Textar),6,150.98,905.88
CMD-0000006,2023-04-19,Moteurs & Cie,5644.76,ALT-43017,Démarreur 1.8kW (NGK),6,52.38,314.28
CMD-0000007,2023-01-28,Atelier Mécanique 360,1857.57,STR-14176,Ressort hélicoïdal (Moog),1,71.78,71.78
CMD-0000007,2023-01-28,Atelier Mécanique 360,1857.57,CAL-18138,Étrier reconditionné (Textar),4,186.66,746.64
CMD-0000007,2023-01-28,Atelier Mécanique 360,1857.57,BRK-22063,Étrier reconditionné (Textar),5,207.83,1039.15
CMD-0000008,2023-09-03,Garage du Centre,3539.93,STR-33425,Ressort hélicoïdal (Moog),9,301.37,2712.33
